Address,CheckInCount,HasClaimed
0x1848c47fd80c97c2ff7e634a7e500f266d2455ec,7,false
0x2752e61bd64d81c570497ebc8ec12d30c595f0ca,7,false
0x304c9c5f1c5416166ba56c075920c344dd298751,7,false
0x50f9be48cb44c517a888cb66f5330e00d16e72ff,7,false
0x6e602c7f59cdddd2970094f58f3278e718d45e93,7,false
0x6f7991a7a9f7d377983388e7e2b3743e1d47a544,7,false
0x77920495a419b0fedbcabf4f6dc6b93106b4155b,7,false
0x7be377a1bf01a04385b097a3e9a8d07be73c5683,7,false
0x81639df46b7f39951c2942b13f0613b8ec17387b,7,true
0xabb57831ea27b2610eab0da51d8b351c5b3af5c4,7,false
0xbc9b50d89af9cbeff1652f8e4b2052e12efe9915,7,false
0xe446198683a7c8ffc818982ebe5d96ecbae81a1e,7,false
0xf251912bf3a6fadb3cdab8ecd96e5e0a21beedd3,7,false
0xf29f11515891b757972c58115ce70cbef68f239b,7,false
0xf90d9375033d4ff284f88fc84ed97a416c6502df,7,false
0x0aa1797a33a06cb009ee9dca4aee1a46fe719564,6,false
0x19b896445975f97059afaa1bba86d7caed8b7bc9,6,false
0x1c507e944bae8cbfcb664a7c802abd1725cd2292,6,false
0x1f20c096bb53e67da428f67fc2711f279fd42f6e,6,false
0x2724a975f7fb69383e67b9d83b2440031d8a8caa,6,false
0x30c7d4e78fa2b05000e253c9cb1f30ca458a4798,6,false
0x31c1140adadba70f65a49a8f1be84ab790f9da18,6,false
0x33fc01ad4cd3f2481b3777e5fa111dfd42f755cd,6,false
0x3580f347c34b6bbcfa6e6abcbfe729fa57231289,6,false
0x3c2ce81029db17113468e3422cde8660dab5cfdf,6,false
0x3c430d5a763e3cfa8dbb258de48c814329a91309,6,false
0x3c70620311367e8d8ef0f0ffb4b4336c525ed7c3,6,false
0x3d9ea4673682ce1d50bffcc2bd407740de5f58fc,6,false
0x4476860ccd0a998bd09c74966d8bbdc855ad0c1b,6,false
0x4a221d018d798627d13debc9c63c4f254763a1e1,6,false
0x4d300a878097f4ada3728dc5f59857defd5c5580,6,false
0x51da285305f5e87cbc4c20983fbef12a13e333b9,6,false
0x5314eb9d579e8962267665a9c987fc4397ed7f9d,6,false
0x5389eed6c5ca8ea18c8fcc112664adccd49291c8,6,false
0x5420913d708436c6053e63867587d3930d390df8,6,false
0x58a4d77acf2cb2b2d0e2da461cd24762b75f2097,6,false
0x5a7e85f416c3382738c12f62e7db01d3cf64bd81,6,false
0x5f1def397d8f6b4d2de7b5b0859c391f9307927c,6,false
0x612017aa850b70fe46ee30f0e6f0ee3c085d0949,6,false
0x61c0ff10630f80cb08d534785ba22e7b6f0eaffa,6,false
0x630e51718aa13e4d3022079b7ad36d1946252a4e,6,false
0x6cdd4ef684c4f1c20d7c908eff9f59b3c401fee2,6,false
0x7adc144ea326c8a03327ec44205a9c124a3a0a7f,6,false
0x84d38759cabced27b7183c4de57ec195aeb6f789,6,false
0x8debe52ca7a833a526ebd9490ecc6965435b5e76,6,false
0x98cfbfea18a4b0c2914749557d02351dcfac35e3,6,false
0xa0a28364bd4269e0c0fcd7224a0ccf0837efb196,6,false
0xa68e313182557d767c099691f98c87eedfce0b1e,6,false
0xaa2bed0454d5844a4cfaa7686d4206de4848904f,6,false
0xaae033216a7d462ec7e8b8cea554038f96e75574,6,false
0xafc3e3b02abbda49e9a9f5992dfb117555013453,6,false
0xb4077c1650c1df813064d405f6a568d3331417da,6,false
0xbc8e42d30040b5f66a4a148bbd37a42141fcfb44,6,false
0xbe95bb47789e5f4af467306c97ded0877bf817b5,6,false
0xc7732464cc31d6468702e6b8dd40629f09d49292,6,false
0xc776a708304257cec383699e015e4786d01f520a,6,false
0xc7b22a190e6dc4f1d382b5da5f343b7e6b38247d,6,false
0xcc7e71f5b506d0c6b96e6f4b778fd92836557cb1,6,false
0xda2f132fcf312d450d4cdcd2a5aed411b6b79462,6,false
0xdb170c00776e987b6841796e1755c7f7e682b4b5,6,false
0xdd72c8512fe63dfe4b81b2862e5a9f5a885a3a93,6,false
0xdee1ff27630bb74c54770fb14d869ab14cfd05a5,6,false
0xe838364ef101843ce70ecb613983ce68a7df1829,6,false
0xee4dbfb0b6e69b47ac9a81c5569c53f902788665,6,false
0xf3b990d28b155cf8ca65c5da57c55fe08c447479,6,false
0xf52a34d1f9fd1bf2c9a5fbf81d463a15537846c9,6,false
0xfda907eb554ac44b931cd8e5582358a597a35479,6,false
0x0473d099635b8b4adf61e93a3d1bb4b25f7acfa0,5,false
0x14e85a3859b7532cb31e16ea66fb5f981b6de1c0,5,false
0x1c7ef4711c6d4f38f3d785c6a64d89ac5fd20219,5,false
0x1e0cabdc5ce4edd50a8f0954bf91b8e3e737e843,5,false
0x23a2c12ff26be4aee4edb3d6257fcf5dd100ef40,5,false
0x26a021a2243aada8971b56404ad97ff3da50f8ed,5,false
0x27c590950c683e337ce59a864f6013421025fb6f,5,false
0x2a024c595d8c50878cd870553917d4678b1b390a,5,false
0x2e00bf693e0deb30e7a622bf76210cd6e0bbc8c4,5,false
0x2f50ee777388af9d1fd8d88cd78c9605e518bc00,5,false
0x3295a4057b77bd43c779409dc3ddb42ff2b8d28a,5,false
0x357dd78ff039ec55182be69de50a891914021bcf,5,false
0x414e12d03bc31e4f7547e34855ac301ada00cd73,5,false
0x434adb53d7114c3835e09cd1742b8d56d9efdb4c,5,false
0x575bc573330de42a2c08c49c182dd1b2de548fe6,5,false
0x587ba234ee09823053659b6f282d00b2ab05b78c,5,false
0x5ca8c74e620c03e38277f85e0f83914dcb10c64b,5,false
0x5ccc48489a2baf7eceafd603b5a15e570bc511a8,5,false
0x698ffbf85966edcb6d8d06d606bc231b141c330c,5,false
0x6e4c6a432af360e3af6d80213c148ab9a7ba90f2,5,false
0x7863825984355297d6ebaa61f1c86304280971ea,5,false
0x7c9e1a7b7c95b4671bf15ad58b5a5b8ad2c240ad,5,false
0x7f05c0979a6e87d5f0acfd25c383e926e121cd1b,5,false
0x7fb66bb66b10c0641ad27f6402a1490e0a0b7f6f,5,false
0x819a28d1cccd823de42f0d69038c23187e6a2074,5,false
0x826bc8f93505832a31cc3273898ecfbc8fc24614,5,false
0x8efaebc17636664a2bca8f26bc3aa1124696f2b8,5,false
0x99137b3a671fbcf5829e80bd61bef84532847bd4,5,false
